temperature,pressure,vibration,tool_age_hours,station,defective
230.3,3.31,0.71,600,station_3,1
218.5,3.33,0.1,361,station_3,0
228.0,4.2,0.3,238,station_2,0
234.6,2.94,0.74,541,station_2,1
224.6,3.7,0.99,9,station_1,0
209.5,3.83,0.73,182,station_2,0
201.8,3.63,0.64,451,station_1,0
241.0,3.91,0.21,97,station_3,0
218.7,3.15,1.51,217,station_2,0
211.7,2.7,0.57,509,station_1,0
221.7,3.77,1.41,207,station_1,0
217.7,3.08,1.37,146,station_2,0
230.2,3.39,0.98,534,station_1,1
220.4,3.09,0.73,46,station_2,0
220.2,3.87,0.94,514,station_1,0
211.4,3.8,0.55,189,station_2,0
225.6,3.25,0.98,125,station_2,0
207.6,3.82,0.9,293,station_1,0
228.0,3.54,1.06,290,station_2,0
238.3,3.45,1.19,579,station_2,1
201.7,3.52,1.42,452,station_1,0
190.4,3.43,0.78,276,station_1,0
227.4,3.72,1.21,336,station_1,1
250.6,3.61,0.66,191,station_1,1
208.0,3.38,0.63,590,station_2,0
205.0,3.85,0.71,232,station_3,0
227.1,3.29,0.61,531,station_2,1
209.9,3.6,1.19,394,station_2,0
213.9,3.65,1.18,550,station_3,1
215.8,4.02,1.28,213,station_3,0
226.4,3.32,0.89,250,station_3,1
215.1,4.11,0.98,222,station_3,0
223.3,3.56,0.73,496,station_1,0
217.9,3.43,0.55,572,station_1,0
209.9,3.26,1.03,495,station_1,1
216.2,3.71,0.98,271,station_1,0
208.6,3.52,0.57,497,station_1,0
220.1,3.11,1.08,438,station_1,0
206.5,3.11,0.38,311,station_2,0
206.9,3.31,0.85,110,station_2,0
237.5,3.26,0.71,143,station_2,0
219.4,3.88,0.74,422,station_1,0
219.4,3.98,0.57,119,station_3,0
226.1,3.8,1.19,336,station_2,0
214.9,3.63,1.07,483,station_3,1
217.3,3.35,1.26,392,station_3,1
225.1,3.52,0.94,366,station_3,1
223.4,3.81,0.51,155,station_2,0
206.1,4.25,0.79,72,station_3,0
230.0,3.82,0.54,20,station_1,0
212.9,3.4,1.03,28,station_2,0
207.3,3.51,1.26,139,station_3,0
209.2,3.33,0.99,335,station_3,0
215.3,3.23,0.72,254,station_2,0
239.5,3.44,0.79,122,station_2,0
205.9,3.57,0.96,182,station_1,0
221.9,4.14,0.46,277,station_2,0
194.3,3.52,0.94,479,station_3,0
220.0,3.98,0.96,394,station_1,0
230.8,4.12,0.73,25,station_2,0
217.2,3.53,0.77,289,station_1,0
212.4,4.06,0.95,112,station_1,0
222.8,3.75,0.65,513,station_3,1
228.4,3.35,0.65,531,station_1,1
228.0,3.59,1.13,333,station_3,1
243.7,3.51,0.96,442,station_1,1
222.5,3.42,1.4,412,station_2,1
212.9,3.43,0.6,490,station_1,0
218.5,3.55,0.36,167,station_3,0
219.1,3.65,1.18,138,station_3,0
221.3,3.19,1.18,448,station_3,1
219.6,3.5,0.67,575,station_3,1
222.1,2.97,0.45,138,station_2,0
199.9,3.59,0.88,341,station_1,0
230.0,3.72,0.37,327,station_3,0
213.1,3.56,0.79,224,station_1,0
205.9,3.6,0.24,450,station_3,0
227.7,3.71,0.82,79,station_3,0
235.8,3.27,0.25,223,station_2,0
225.9,3.42,0.82,259,station_1,0
221.9,3.68,1.35,572,station_2,1
208.8,3.85,0.81,411,station_3,0
254.5,3.64,1.12,427,station_1,1
230.6,4.39,0.7,600,station_2,1
206.3,3.47,0.62,136,station_1,0
210.6,3.85,0.44,362,station_3,0
221.0,3.94,1.2,65,station_2,0
201.3,3.45,0.87,97,station_3,0
222.0,3.21,1.37,418,station_1,1
214.5,3.09,0.53,496,station_1,0
234.7,3.56,0.82,381,station_1,0
231.5,3.89,0.91,348,station_1,0
187.5,3.6,1.31,474,station_3,0
220.5,3.56,1.43,574,station_2,1
200.6,3.37,0.69,555,station_3,0
233.3,3.7,0.55,485,station_2,0
222.0,2.75,0.36,259,station_3,0
226.6,3.58,1.29,460,station_2,1
207.2,3.51,0.86,140,station_3,0
241.9,3.02,0.69,542,station_2,1
244.2,4.26,0.87,168,station_3,1
207.2,3.01,0.12,588,station_1,0
224.5,3.12,0.37,181,station_2,0
211.9,3.08,1.17,158,station_2,0
219.7,3.89,1.0,202,station_2,0
204.8,3.19,0.93,291,station_3,0
242.4,3.73,0.58,120,station_2,0
208.4,3.71,1.06,158,station_2,0
216.4,3.59,1.42,531,station_2,1
226.0,3.04,0.52,559,station_2,0
212.2,3.29,0.89,93,station_1,0
217.1,4.09,0.75,265,station_3,0
213.2,3.05,0.99,252,station_1,0
218.4,3.21,0.89,497,station_3,1
206.0,3.44,0.84,396,station_2,0
214.7,3.78,0.62,245,station_2,0
217.5,3.59,0.88,473,station_2,0
216.0,3.76,0.7,363,station_2,0
220.7,3.13,0.84,126,station_2,0
216.5,3.83,0.86,476,station_2,0
229.0,3.7,1.08,279,station_3,1
216.1,2.94,0.71,532,station_2,0
218.4,4.04,0.79,399,station_2,0
212.0,4.3,1.21,91,station_1,0
213.7,3.23,0.82,454,station_1,0
204.8,3.52,0.81,349,station_2,0
226.2,3.99,1.14,325,station_1,0
206.3,2.98,0.97,252,station_2,0
211.0,2.8,0.91,398,station_1,0
224.3,3.05,0.95,38,station_1,0
224.8,3.3,0.51,302,station_2,0
215.2,3.3,1.02,561,station_3,1
195.8,3.71,1.28,123,station_2,0
225.0,3.59,1.06,82,station_1,0
223.1,3.06,0.42,246,station_2,0
203.1,3.7,0.97,312,station_2,0
229.2,4.16,0.61,226,station_1,0
211.6,3.92,0.82,290,station_2,0
206.5,3.85,0.93,405,station_2,0
221.1,3.51,0.53,476,station_2,0
217.9,3.84,1.29,31,station_1,0
222.4,3.16,0.87,229,station_3,0
200.7,3.76,1.13,372,station_3,0
241.7,3.47,1.08,13,station_2,0
212.8,3.9,1.29,570,station_3,1
201.5,3.66,1.25,384,station_2,0
227.4,3.12,0.45,291,station_3,0
215.7,3.54,0.9,269,station_2,0
223.9,3.93,0.25,88,station_3,0
215.9,3.1,0.75,40,station_2,0
219.3,3.3,1.1,409,station_1,0
222.9,3.23,1.16,554,station_1,1
211.0,2.98,1.28,475,station_3,1
228.1,3.84,0.78,13,station_2,0
214.4,3.96,0.99,23,station_2,0
209.6,3.78,0.92,308,station_3,0
220.9,3.58,1.27,344,station_1,0
225.3,3.48,1.37,364,station_2,0
217.3,3.58,0.78,526,station_1,1
209.6,3.24,2.03,539,station_1,1
227.4,3.81,0.89,594,station_1,1
198.9,3.87,0.78,200,station_3,0
207.6,3.83,1.07,281,station_2,0
220.5,3.31,1.12,596,station_3,1
203.7,3.53,1.05,420,station_2,0
220.3,3.44,0.7,34,station_2,0
219.3,4.13,1.33,546,station_3,1
230.8,3.56,0.91,370,station_2,0
209.0,2.84,1.35,116,station_2,0
212.5,3.64,1.31,209,station_3,0
224.0,4.16,0.51,347,station_2,0
190.5,3.74,0.6,392,station_3,0
257.2,3.81,0.59,246,station_1,1
211.6,3.51,0.97,447,station_3,0
211.2,2.81,0.91,320,station_3,0
230.3,2.87,0.97,585,station_3,1
219.5,3.06,0.65,512,station_1,0
198.6,3.46,1.02,90,station_2,0
227.5,3.61,1.32,62,station_2,0
230.3,3.74,0.49,512,station_1,0
214.6,3.38,0.84,365,station_1,0
216.6,3.83,0.97,586,station_3,1
225.8,3.4,0.86,262,station_1,0
209.1,3.25,0.84,108,station_1,0
225.3,3.8,1.43,22,station_3,0
222.4,3.18,1.28,461,station_1,1
211.9,2.54,1.15,50,station_3,0
203.3,3.13,0.67,386,station_2,0
217.3,3.53,1.57,338,station_3,1
209.5,2.42,1.0,444,station_2,0
232.0,3.38,0.72,566,station_1,1
221.7,3.38,0.79,142,station_1,0
229.4,3.0,0.75,290,station_2,0
221.6,2.98,1.53,451,station_1,1
223.2,3.34,0.96,121,station_2,0
210.6,3.31,0.91,55,station_3,0
228.0,3.94,0.25,83,station_1,0
241.4,3.63,1.12,559,station_1,1
216.3,2.95,0.58,474,station_1,0
