timestamp,cpu_usage,memory_mb,network_kbps,label_anomaly
2024-01-04 04:00:00,23.5,807.2,126.3,0
2024-01-04 05:00:00,27.8,829.3,115.1,0
2024-01-04 06:00:00,15.5,931.3,137.0,0
2024-01-04 07:00:00,45.5,973.1,195.6,1
2024-01-04 08:00:00,22.3,844.7,195.4,1
2024-01-04 09:00:00,31.8,836.6,200.9,1
2024-01-04 10:00:00,32.2,888.6,149.2,1
2024-01-04 11:00:00,15.6,809.4,96.0,0
2024-01-04 12:00:00,21.5,918.6,72.9,0
2024-01-04 13:00:00,26.2,736.7,103.0,0
2024-01-04 14:00:00,21.0,837.2,153.4,0
2024-01-04 15:00:00,16.5,889.9,106.1,0
2024-01-04 16:00:00,12.0,769.7,139.7,0
2024-01-04 17:00:00,11.6,871.7,119.9,0
2024-01-04 18:00:00,23.0,927.6,102.5,0
2024-01-04 19:00:00,25.9,877.2,153.5,0
2024-01-04 20:00:00,19.0,748.6,134.6,0
2024-01-04 21:00:00,13.6,806.3,76.2,0
2024-01-04 22:00:00,25.2,923.9,146.0,0
2024-01-04 23:00:00,12.3,867.9,93.1,0
2024-01-05 00:00:00,15.7,849.4,115.6,0
2024-01-05 01:00:00,23.7,876.5,136.7,0
2024-01-05 02:00:00,6.5,893.3,112.5,0
2024-01-05 03:00:00,22.3,807.5,148.0,0
2024-01-05 04:00:00,16.5,832.6,139.0,0
2024-01-05 05:00:00,28.9,926.3,135.0,1
2024-01-05 06:00:00,37.9,982.5,158.4,1
2024-01-05 07:00:00,25.6,875.2,141.5,1
2024-01-05 08:00:00,41.3,996.9,157.9,1
2024-01-05 09:00:00,27.5,760.1,133.7,1
2024-01-05 10:00:00,28.5,965.6,140.0,0
2024-01-05 11:00:00,24.4,962.8,127.9,0
2024-01-05 12:00:00,25.1,747.2,97.0,0
2024-01-05 13:00:00,27.0,841.5,124.4,0
2024-01-05 14:00:00,24.7,870.6,104.7,0
2024-01-05 15:00:00,25.1,804.3,89.6,0
2024-01-05 16:00:00,20.5,805.5,91.7,0
2024-01-05 17:00:00,11.4,835.8,127.2,0
2024-01-05 18:00:00,19.2,894.4,119.3,0
2024-01-05 19:00:00,15.4,819.3,120.1,0
2024-01-05 20:00:00,11.5,959.6,91.3,0
2024-01-05 21:00:00,21.6,867.4,115.4,0
2024-01-05 22:00:00,16.6,843.8,94.1,0
2024-01-05 23:00:00,13.8,937.0,96.8,0
2024-01-06 00:00:00,13.7,887.6,115.9,0
2024-01-06 01:00:00,21.6,872.2,85.4,0
2024-01-06 02:00:00,22.2,830.1,136.7,0
2024-01-06 03:00:00,27.9,958.8,182.2,0
2024-01-06 04:00:00,19.9,898.7,131.5,0
2024-01-06 05:00:00,35.2,911.1,154.9,1
2024-01-06 06:00:00,41.3,757.4,138.3,1
2024-01-06 07:00:00,31.5,928.3,129.3,1
2024-01-06 08:00:00,23.9,800.2,148.1,1
2024-01-06 09:00:00,28.2,773.5,170.5,1
2024-01-06 10:00:00,22.0,833.3,134.7,0
2024-01-06 11:00:00,22.5,866.9,94.2,0
2024-01-06 12:00:00,22.2,926.9,127.5,0
2024-01-06 13:00:00,22.3,866.9,148.9,0
2024-01-06 14:00:00,21.9,898.4,163.9,0
2024-01-06 15:00:00,17.8,776.4,102.5,0
2024-01-06 16:00:00,8.6,848.6,98.4,0
2024-01-06 17:00:00,19.3,857.5,121.4,0
2024-01-06 18:00:00,15.2,901.7,46.8,0
2024-01-06 19:00:00,26.5,857.0,106.7,0
2024-01-06 20:00:00,18.3,898.2,113.2,0
2024-01-06 21:00:00,20.5,819.7,108.5,0
2024-01-06 22:00:00,14.9,871.5,80.4,0
2024-01-06 23:00:00,16.9,874.9,113.9,0
2024-01-07 00:00:00,19.9,775.0,100.6,0
2024-01-07 01:00:00,11.1,860.5,138.9,0
2024-01-07 02:00:00,30.6,955.2,127.3,1
2024-01-07 03:00:00,31.7,968.8,95.1,1
2024-01-07 04:00:00,29.0,1009.8,176.0,1
2024-01-07 05:00:00,22.6,967.6,187.3,1
2024-01-07 06:00:00,25.8,844.6,57.8,1
2024-01-07 07:00:00,41.2,985.4,171.5,1
2024-01-07 08:00:00,16.8,858.3,139.0,0
2024-01-07 09:00:00,18.6,940.5,111.0,0
2024-01-07 10:00:00,30.9,840.0,81.8,0
2024-01-07 11:00:00,19.7,878.3,128.2,0
2024-01-07 12:00:00,20.5,932.4,128.4,0
2024-01-07 13:00:00,11.1,882.0,113.2,0
2024-01-07 14:00:00,29.9,914.1,91.0,0
2024-01-07 15:00:00,25.5,821.4,101.5,0
2024-01-07 16:00:00,26.4,896.3,112.2,0
2024-01-07 17:00:00,20.3,846.5,98.1,0
2024-01-07 18:00:00,25.5,914.5,72.0,0
2024-01-07 19:00:00,22.2,789.8,100.8,0
2024-01-07 20:00:00,23.7,803.2,118.5,0
2024-01-07 21:00:00,19.1,926.1,107.3,0
2024-01-07 22:00:00,11.2,838.2,118.1,0
2024-01-07 23:00:00,26.2,828.5,122.1,0
2024-01-08 00:00:00,8.4,854.7,142.4,0
2024-01-08 01:00:00,36.5,1047.0,231.7,1
2024-01-08 02:00:00,23.2,947.3,168.1,1
2024-01-08 03:00:00,15.9,761.1,116.1,1
2024-01-08 04:00:00,29.5,861.7,83.5,1
2024-01-08 05:00:00,30.5,1046.1,186.5,1
2024-01-08 06:00:00,17.4,843.7,121.8,0
2024-01-08 07:00:00,23.1,801.9,91.0,0
2024-01-08 08:00:00,17.1,797.9,126.8,0
2024-01-08 09:00:00,28.3,875.5,100.8,0
2024-01-08 10:00:00,22.1,788.2,130.1,0
2024-01-08 11:00:00,17.2,888.8,111.9,0
2024-01-08 12:00:00,8.3,758.6,129.9,0
2024-01-08 13:00:00,12.2,816.7,76.4,0
2024-01-08 14:00:00,26.5,852.2,109.0,0
2024-01-08 15:00:00,19.7,774.9,116.3,0
2024-01-08 16:00:00,18.3,889.1,84.4,0
2024-01-08 17:00:00,29.9,848.9,167.1,0
2024-01-08 18:00:00,12.3,787.8,106.5,0
2024-01-08 19:00:00,16.5,758.9,154.7,0
2024-01-08 20:00:00,17.2,756.1,103.4,0
2024-01-08 21:00:00,37.2,949.2,129.9,1
2024-01-08 22:00:00,24.9,826.4,161.4,1
2024-01-08 23:00:00,30.8,896.0,180.2,1
2024-01-09 00:00:00,12.7,924.4,203.5,1
2024-01-09 01:00:00,48.1,1101.4,162.5,1
2024-01-09 02:00:00,24.8,866.7,85.8,0
2024-01-09 03:00:00,17.1,895.8,110.3,0
2024-01-09 04:00:00,21.0,862.8,96.1,0
2024-01-09 05:00:00,12.2,897.0,124.9,0
2024-01-09 06:00:00,17.2,769.4,106.4,0
2024-01-09 07:00:00,28.3,824.2,118.9,0
